# r   Lambda(r)
2.315394242803504454e+01 -1.027621650291296734e-01
2.327909887359199104e+01 -1.089513260907092329e-01
2.340425531914893753e+01 -1.149924308579230309e-01
2.352941176470588402e+01 -1.209028484389531449e-01
2.365456821026283052e+01 -1.208687908343240580e-01
2.377972465581977701e+01 -1.199871935079169366e-01
2.390488110137672351e+01 -1.289929813555730498e-01
2.403003754693367000e+01 -1.370432366162217808e-01
2.415519399249061294e+01 -1.578695437591881578e-01
2.428035043804755944e+01 -1.656307114391880608e-01
2.440550688360450593e+01 -1.658432127522712074e-01
2.453066332916145242e+01 -1.748350768721959048e-01
2.465581977471839892e+01 -1.858069708025309186e-01
2.478097622027534541e+01 -2.022637352877703354e-01
2.490613266583229191e+01 -2.136282692014089268e-01
2.503128911138923840e+01 -2.228087739107811049e-01
2.515644555694618489e+01 -2.226753715252051957e-01
2.528160200250313139e+01 -2.340729462586934873e-01
2.540675844806007788e+01 -2.354886447246339887e-01
2.553191489361702082e+01 -2.362381130860465306e-01
2.565707133917396732e+01 -2.432993084072599954e-01
2.578222778473091381e+01 -2.529857814114908066e-01
2.590738423028786030e+01 -2.603663169561320490e-01
2.603254067584480680e+01 -2.624110081491149993e-01
2.615769712140175329e+01 -2.629486061101162231e-01
2.628285356695869979e+01 -2.668647599379368462e-01
2.640801001251564628e+01 -2.762955379787027099e-01
2.653316645807259277e+01 -2.819611331354325845e-01
2.665832290362953927e+01 -2.852844543794161303e-01
2.678347934918648576e+01 -2.900501188810183928e-01
2.690863579474343226e+01 -3.033866743656770115e-01
2.703379224030037520e+01 -3.154561409151435125e-01
2.715894868585732169e+01 -3.201455644775269005e-01
2.728410513141426819e+01 -3.246386898913720676e-01
2.740926157697121468e+01 -3.305055086256211694e-01
2.753441802252816117e+01 -3.399584506143003004e-01
2.765957446808510767e+01 -3.487495082047530337e-01
2.778473091364205416e+01 -3.464812351982780592e-01
2.790988735919900066e+01 -3.555889158839006248e-01
2.803504380475594715e+01 -3.532878799584387997e-01
2.816020025031289364e+01 -3.541872242134629367e-01
2.828535669586984014e+01 -3.591383980965872080e-01
2.841051314142678308e+01 -3.680898097229360899e-01
2.853566958698372957e+01 -3.791138130425619202e-01
2.866082603254067607e+01 -3.906353342482645208e-01
2.878598247809762256e+01 -4.017456840662517736e-01
2.891113892365456906e+01 -4.139349336055102579e-01
2.903629536921151555e+01 -4.294392691130862194e-01
2.916145181476846204e+01 -4.399122527659509729e-01
2.928660826032540854e+01 -4.538104194687911930e-01
2.941176470588235503e+01 -4.729198894564212163e-01
2.953692115143930152e+01 -4.648926031887412047e-01
2.966207759699624802e+01 -4.714841198856375426e-01
2.978723404255319451e+01 -4.787508598828390527e-01
2.991239048811013745e+01 -4.850253637623958003e-01
3.003754693366708395e+01 -4.938916827111207719e-01
3.016270337922403044e+01 -5.051865484828435005e-01
3.028785982478097694e+01 -5.239368424559148751e-01
3.041301627033792343e+01 -5.231999117522966314e-01
3.053817271589486992e+01 -5.231515253661098708e-01
3.066332916145181642e+01 -5.319641056778473542e-01
3.078848560700876291e+01 -5.327731297592477322e-01
3.091364205256570941e+01 -5.394031859791872385e-01
3.103879849812265590e+01 -5.359718023334255621e-01
3.116395494367960239e+01 -5.333190436323501649e-01
3.128911138923654889e+01 -5.377050033894852366e-01
3.141426783479349183e+01 -5.360402407424734728e-01
3.153942428035043832e+01 -5.364073674316182094e-01
3.166458072590738482e+01 -5.421145894288638134e-01
3.178973717146433131e+01 -5.550142764524279571e-01
3.191489361702127781e+01 -5.575963087568733823e-01
3.204005006257822430e+01 -5.597657503634672072e-01
3.216520650813517079e+01 -5.614119417299689996e-01
3.229036295369211729e+01 -5.732135424554084535e-01
3.241551939924906378e+01 -5.776668999524487980e-01
3.254067584480601028e+01 -5.877480552568634664e-01
3.266583229036295677e+01 -5.843743675793949821e-01
3.279098873591990326e+01 -5.994380083926804659e-01
3.291614518147684976e+01 -5.921680171331537013e-01
3.304130162703379625e+01 -6.027858532604370989e-01
3.316645807259074274e+01 -6.001826126427954877e-01
3.329161451814768924e+01 -6.022129204240799227e-01
3.341677096370463573e+01 -6.056664875555984873e-01
3.354192740926157512e+01 -6.141544633623743366e-01
3.366708385481852162e+01 -6.139991358503812391e-01
3.379224030037546811e+01 -6.161337319646064126e-01
3.391739674593241460e+01 -6.214563894244555797e-01
3.404255319148936110e+01 -6.292051679696037958e-01
3.416770963704630759e+01 -6.441974938654129179e-01
3.429286608260325409e+01 -6.521164563763011124e-01
3.441802252816020058e+01 -6.571418879803531121e-01
3.454317897371714707e+01 -6.586723458530434616e-01
3.466833541927409357e+01 -6.632347692124634930e-01
3.479349186483104006e+01 -6.728611186632531549e-01
3.491864831038798656e+01 -6.842538226393436451e-01
3.504380475594493305e+01 -6.914328936058194985e-01
3.516896120150187954e+01 -7.016071929916208871e-01
