# r   Lambda(r)
2.966207759699624802e+01 -1.382067171840147823e+00
2.978723404255319451e+01 -1.386361065062925446e+00
2.991239048811013745e+01 -1.370457097484577336e+00
3.003754693366708395e+01 -1.359148651780756056e+00
3.016270337922403044e+01 -1.348728825958026789e+00
3.028785982478097694e+01 -1.342931899246120109e+00
3.041301627033792343e+01 -1.343765949175500962e+00
3.053817271589486992e+01 -1.345226311986827072e+00
3.066332916145181642e+01 -1.340740603352158944e+00
3.078848560700876291e+01 -1.342175252388197348e+00
3.091364205256570941e+01 -1.346018893717123577e+00
3.103879849812265590e+01 -1.344420165909826048e+00
3.116395494367960239e+01 -1.353620775249597674e+00
3.128911138923654889e+01 -1.359222976482805434e+00
3.141426783479349183e+01 -1.375051875802398849e+00
3.153942428035043832e+01 -1.360344641974663427e+00
3.166458072590738482e+01 -1.358918071945501849e+00
3.178973717146433131e+01 -1.359228386926897292e+00
3.191489361702127781e+01 -1.365912548820809036e+00
3.204005006257822430e+01 -1.368633952573195200e+00
3.216520650813517079e+01 -1.371448670330758457e+00
3.229036295369211729e+01 -1.374509166013400119e+00
3.241551939924906378e+01 -1.383951376702804881e+00
3.254067584480601028e+01 -1.399647323834144252e+00
3.266583229036295677e+01 -1.407637838500554128e+00
3.279098873591990326e+01 -1.420720646546584476e+00
3.291614518147684976e+01 -1.438361880787040414e+00
3.304130162703379625e+01 -1.458936251872993362e+00
3.316645807259074274e+01 -1.484065630471342878e+00
3.329161451814768924e+01 -1.498058043936265848e+00
3.341677096370463573e+01 -1.516264920049363196e+00
3.354192740926157512e+01 -1.528891794972309537e+00
3.366708385481852162e+01 -1.540638957627910921e+00
3.379224030037546811e+01 -1.547335138908052299e+00
3.391739674593241460e+01 -1.542055670229538489e+00
3.404255319148936110e+01 -1.524912528362427411e+00
3.416770963704630759e+01 -1.524528832850505999e+00
3.429286608260325409e+01 -1.520459110178405293e+00
3.441802252816020058e+01 -1.524529430034258448e+00
3.454317897371714707e+01 -1.515204237971991663e+00
3.466833541927409357e+01 -1.521939840846500802e+00
3.479349186483104006e+01 -1.518524253361956067e+00
3.491864831038798656e+01 -1.522084470795504130e+00
3.504380475594493305e+01 -1.533329012538762193e+00
3.516896120150187954e+01 -1.535275382715634906e+00
3.529411764705882604e+01 -1.543367525659809836e+00
3.541927409261577253e+01 -1.553013302540460883e+00
3.554443053817271903e+01 -1.553189877969030519e+00
3.566958698372966552e+01 -1.552603691642551409e+00
3.579474342928661201e+01 -1.555239352176248424e+00
3.591989987484355851e+01 -1.565075726724740601e+00
3.604505632040050500e+01 -1.573485426784338781e+00
3.617021276595745150e+01 -1.588073360738802453e+00
3.629536921151439799e+01 -1.580197546626048721e+00
3.642052565707133738e+01 -1.562302752351705459e+00
3.654568210262828387e+01 -1.561781756001593413e+00
3.667083854818523037e+01 -1.570916805093278690e+00
