# r   Lambda(r)
1.088861076345431833e+01 -1.449678002243420583e+00
1.101376720901126482e+01 -1.499409771807744818e+00
1.113892365456821132e+01 -1.556910326936415734e+00
1.126408010012515781e+01 -1.600923547265635571e+00
1.138923654568210253e+01 -1.652345926642249774e+00
1.151439299123904902e+01 -1.714625960319806408e+00
1.163954943679599552e+01 -1.725637673586776888e+00
1.176470588235294201e+01 -1.729988880857649347e+00
1.188986232790988851e+01 -1.759117082958333578e+00
1.201501877346683500e+01 -1.759067762796090673e+00
1.214017521902377972e+01 -1.777635126685365163e+00
1.226533166458072621e+01 -1.803151086580027096e+00
1.239048811013767271e+01 -1.866237765141080418e+00
1.251564455569461920e+01 -1.916450604168105309e+00
1.264080100125156569e+01 -1.976655114630710086e+00
1.276595744680851041e+01 -2.014070400890588530e+00
1.289111389236545691e+01 -2.061114443401597107e+00
1.301627033792240340e+01 -2.100627493660028655e+00
1.314142678347934989e+01 -2.142451976138413539e+00
1.326658322903629639e+01 -2.176994938343567387e+00
1.339173967459324288e+01 -2.190973202891278504e+00
1.351689612015018760e+01 -2.198571007596161753e+00
1.364205256570713409e+01 -2.226185425776342708e+00
1.376720901126408059e+01 -2.240751751073947418e+00
1.389236545682102708e+01 -2.257639195353287054e+00
1.401752190237797357e+01 -2.277165060526646467e+00
1.414267834793492007e+01 -2.297066284656668067e+00
1.426783479349186479e+01 -2.331858153275456313e+00
1.439299123904881128e+01 -2.360165511642271952e+00
1.451814768460575777e+01 -2.400754566983083649e+00
1.464330413016270427e+01 -2.433164913229818094e+00
1.476846057571965076e+01 -2.452961795616806384e+00
1.489361702127659726e+01 -2.480511338256252252e+00
1.501877346683354197e+01 -2.525185341443927811e+00
1.514392991239048847e+01 -2.538885400337640430e+00
1.526908635794743496e+01 -2.575880555630447599e+00
1.539424280350438146e+01 -2.594825041227505125e+00
1.551939924906132795e+01 -2.609057105836328994e+00
1.564455569461827444e+01 -2.634575253118916383e+00
1.576971214017521916e+01 -2.662431458527293682e+00
1.589486858573216566e+01 -2.683328719986779021e+00
1.602002503128911215e+01 -2.709651409836646874e+00
1.614518147684605864e+01 -2.745616323571040240e+00
1.627033792240300514e+01 -2.750561618828638810e+00
1.639549436795995163e+01 -2.756716586130975255e+00
1.652065081351689813e+01 -2.774137822684100918e+00
1.664580725907384462e+01 -2.751335718776435790e+00
1.677096370463078756e+01 -2.741819741900707541e+00
1.689612015018773405e+01 -2.747420695889957631e+00
1.702127659574468055e+01 -2.729141219266463914e+00
1.714643304130162704e+01 -2.728170505729578643e+00
1.727158948685857354e+01 -2.717086437335169968e+00
1.739674593241552003e+01 -2.706074302786857899e+00
1.752190237797246652e+01 -2.708062031188906094e+00
1.764705882352941302e+01 -2.712324385058307197e+00
1.777221526908635951e+01 -2.733830157172429942e+00
1.789737171464330601e+01 -2.766549754196117927e+00
1.802252816020025250e+01 -2.794473345621037108e+00
1.814768460575719899e+01 -2.850171864900058250e+00
1.827284105131414194e+01 -2.880616779432618735e+00
1.839799749687108843e+01 -2.906889401861761257e+00
1.852315394242803492e+01 -2.940536197161402132e+00
1.864831038798498142e+01 -3.000297843321984903e+00
1.877346683354192791e+01 -3.027246672743535871e+00
1.889862327909887441e+01 -3.056376442910907709e+00
1.902377972465582090e+01 -3.086465098949335850e+00
1.914893617021276739e+01 -3.128236344920830803e+00
1.927409261576971389e+01 -3.161854051724420245e+00
1.939924906132666038e+01 -3.206076963881332009e+00
1.952440550688360688e+01 -3.223829417122540342e+00
1.964956195244055337e+01 -3.245835407338238277e+00
1.977471839799749631e+01 -3.262491387718824409e+00
1.989987484355444280e+01 -3.269411349983851078e+00
2.002503128911138930e+01 -3.281541576828343132e+00
2.015018773466833579e+01 -3.287134358172074666e+00
2.027534418022528229e+01 -3.292198935487968381e+00
2.040050062578222878e+01 -3.293254469457936651e+00
2.052565707133917527e+01 -3.298764979097333239e+00
2.065081351689612177e+01 -3.313712514545185783e+00
2.077596996245306826e+01 -3.323996282473967057e+00
2.090112640801001476e+01 -3.330769021641488248e+00
2.102628285356696125e+01 -3.327105954835806401e+00
2.115143929912390419e+01 -3.345306590889149501e+00
2.127659574468085069e+01 -3.360852847177399738e+00
2.140175219023779718e+01 -3.386255338630291600e+00
2.152690863579474367e+01 -3.390844295140313047e+00
2.165206508135169017e+01 -3.387685144150430094e+00
2.177722152690863666e+01 -3.408545613664925700e+00
2.190237797246558316e+01 -3.422705153511191867e+00
2.202753441802252965e+01 -3.440706183025474374e+00
2.215269086357947614e+01 -3.444287328757063005e+00
2.227784730913642264e+01 -3.455582112415408691e+00
2.240300375469336913e+01 -3.452254535288023618e+00
2.252816020025031563e+01 -3.462944112280136988e+00
2.265331664580725857e+01 -3.461443101850852244e+00
2.277847309136420506e+01 -3.478549267665589806e+00
2.290362953692115155e+01 -3.487968348806221197e+00
2.302878598247809805e+01 -3.510182190891133480e+00
2.315394242803504454e+01 -3.503871948402756509e+00
2.327909887359199104e+01 -3.512103318801298890e+00
2.340425531914893753e+01 -3.526050406822653915e+00
2.352941176470588402e+01 -3.549627288192411800e+00
2.365456821026283052e+01 -3.550340258667748827e+00
2.377972465581977701e+01 -3.557613707995008312e+00
2.390488110137672351e+01 -3.568869974656157851e+00
