# r   Lambda(r)
7.884856070087609581e+00 9.441158267684209848e-01
8.010012515644556075e+00 9.433108750363619066e-01
8.135168961201502569e+00 9.441758798203723213e-01
8.260325406758449063e+00 9.442844588844412357e-01
8.385481852315393780e+00 9.442877604675100622e-01
8.510638297872340274e+00 9.439337294335953255e-01
8.635794743429286768e+00 9.437845516798030188e-01
8.760951188986233262e+00 9.433259703725749290e-01
8.886107634543179756e+00 9.429116700569440956e-01
9.011264080100126250e+00 9.439994785788903275e-01
9.136420525657070968e+00 9.434566595369131559e-01
9.261576971214017462e+00 9.440985902828888943e-01
9.386733416770963956e+00 9.426252394032850201e-01
9.511889862327910450e+00 9.436511559514008107e-01
9.637046307884856944e+00 9.443460268549147552e-01
9.762202753441803438e+00 9.438759957632287811e-01
9.887359198998748155e+00 9.440941203680780491e-01
1.001251564455569465e+01 9.432389551036146624e-01
1.013767209011264114e+01 9.441793844318786544e-01
1.026282853566958764e+01 9.442889510053319446e-01
1.038798498122653413e+01 9.439779173481454011e-01
1.051314142678348063e+01 9.436485725538649172e-01
1.063829787234042534e+01 9.438999935640858263e-01
1.076345431789737184e+01 9.440884966988940530e-01
1.088861076345431833e+01 9.439430093637733998e-01
1.101376720901126482e+01 9.440306334925215870e-01
1.113892365456821132e+01 9.435390004694920174e-01
1.126408010012515781e+01 9.436166396770424569e-01
1.138923654568210253e+01 9.439443119787828129e-01
1.151439299123904902e+01 9.431502589906468614e-01
1.163954943679599552e+01 9.441727972089778431e-01
1.176470588235294201e+01 9.439679979278221555e-01
1.188986232790988851e+01 9.427184214273475193e-01
1.201501877346683500e+01 9.439396588455593040e-01
1.214017521902377972e+01 9.435395054484007060e-01
1.226533166458072621e+01 9.440798418922496937e-01
1.239048811013767271e+01 9.439380471078225865e-01
1.251564455569461920e+01 9.432298129448039026e-01
1.264080100125156569e+01 9.429015328352635672e-01
1.276595744680851041e+01 9.437473596379826191e-01
1.289111389236545691e+01 9.442661678359287603e-01
1.301627033792240340e+01 9.435087438554634609e-01
1.314142678347934989e+01 9.430685895596252477e-01
1.326658322903629639e+01 9.431279696401779766e-01
1.339173967459324288e+01 9.441155828677200157e-01
1.351689612015018760e+01 9.427304778017273623e-01
1.364205256570713409e+01 9.437287062964705431e-01
1.376720901126408059e+01 9.440973667544475534e-01
1.389236545682102708e+01 9.429800116755927553e-01
1.401752190237797357e+01 9.436574020383521333e-01
1.414267834793492007e+01 9.441388368581733470e-01
1.426783479349186479e+01 9.437653187849016634e-01
1.439299123904881128e+01 9.439609906613685153e-01
1.451814768460575777e+01 9.439807184087258829e-01
1.464330413016270427e+01 9.439991838642091126e-01
