# r   Lambda(r)
1.451814768460575777e+01 8.151314694977191522e+00
1.464330413016270427e+01 8.264236729340726839e+00
1.476846057571965076e+01 8.380875354956806689e+00
1.489361702127659726e+01 8.496411595917066961e+00
1.501877346683354197e+01 8.609314848066157211e+00
1.514392991239048847e+01 8.724575956370923535e+00
1.526908635794743496e+01 8.841609947535518543e+00
1.539424280350438146e+01 8.957214733705479048e+00
1.551939924906132795e+01 9.069966686120116250e+00
1.564455569461827444e+01 9.185828561764486366e+00
1.576971214017521916e+01 9.301551024484819408e+00
1.589486858573216566e+01 9.415798454175648757e+00
1.602002503128911215e+01 9.530408195066897292e+00
1.614518147684605864e+01 9.645792080686071301e+00
1.627033792240300514e+01 9.760478450312437104e+00
1.639549436795995163e+01 9.874738361326146574e+00
1.652065081351689813e+01 9.988865432577556547e+00
1.664580725907384462e+01 1.010291782864132948e+01
1.677096370463078756e+01 1.021858408805364427e+01
1.689612015018773405e+01 1.033234976014519901e+01
1.702127659574468055e+01 1.044743776863079532e+01
1.714643304130162704e+01 1.056211818375660272e+01
1.727158948685857354e+01 1.067665210377307083e+01
1.739674593241552003e+01 1.079025794342593692e+01
1.752190237797246652e+01 1.090431947777633681e+01
1.764705882352941302e+01 1.101981605005166465e+01
1.777221526908635951e+01 1.113205109314236552e+01
1.789737171464330601e+01 1.124711121408993364e+01
1.802252816020025250e+01 1.135876420157458888e+01
1.814768460575719899e+01 1.147474243330429644e+01
1.827284105131414194e+01 1.159056897293403665e+01
1.839799749687108843e+01 1.170410113326826718e+01
1.852315394242803492e+01 1.181818778835246597e+01
1.864831038798498142e+01 1.193148975373709497e+01
1.877346683354192791e+01 1.204591469465332487e+01
1.889862327909887441e+01 1.216063476276976196e+01
1.902377972465582090e+01 1.227052716277832189e+01
1.914893617021276739e+01 1.238819199341527622e+01
1.927409261576971389e+01 1.249933838581920575e+01
1.939924906132666038e+01 1.261496487676475198e+01
1.952440550688360688e+01 1.272874271506353416e+01
1.964956195244055337e+01 1.284342701251852503e+01
1.977471839799749631e+01 1.295497169729295450e+01
1.989987484355444280e+01 1.306880771736926405e+01
2.002503128911138930e+01 1.318301251261519980e+01
2.015018773466833579e+01 1.329791264855315269e+01
2.027534418022528229e+01 1.341165246152351109e+01
2.040050062578222878e+01 1.352442674345578233e+01
2.052565707133917527e+01 1.363777692649057194e+01
2.065081351689612177e+01 1.375048139413269510e+01
2.077596996245306826e+01 1.386437668669102941e+01
2.090112640801001476e+01 1.397759764880326472e+01
2.102628285356696125e+01 1.408990411181753011e+01
2.115143929912390419e+01 1.420467806615587492e+01
2.127659574468085069e+01 1.431538725699406100e+01
2.140175219023779718e+01 1.443012585900344291e+01
2.152690863579474367e+01 1.454382585921647575e+01
2.165206508135169017e+01 1.465593962377375803e+01
2.177722152690863666e+01 1.477077597541019749e+01
2.190237797246558316e+01 1.488370287524082336e+01
2.202753441802252965e+01 1.499461724026675746e+01
2.215269086357947614e+01 1.510953179017460535e+01
2.227784730913642264e+01 1.522134589100870983e+01
2.240300375469336913e+01 1.533551825463879759e+01
2.252816020025031563e+01 1.544649239116921358e+01
2.265331664580725857e+01 1.556062917125990985e+01
2.277847309136420506e+01 1.567378463483113649e+01
2.290362953692115155e+01 1.578598268991080289e+01
2.302878598247809805e+01 1.589941744030195814e+01
2.315394242803504454e+01 1.601277523462940522e+01
2.327909887359199104e+01 1.612436607498904806e+01
2.340425531914893753e+01 1.623621505967204826e+01
2.352941176470588402e+01 1.635076387240540186e+01
