# r   Lambda(r)
1.364205256570713409e+01 -4.016397898545608136e+00
1.376720901126408059e+01 -4.023739743194529872e+00
1.389236545682102708e+01 -4.032077642650437888e+00
1.401752190237797357e+01 -4.027574640895881686e+00
1.414267834793492007e+01 -4.019539531459400017e+00
1.426783479349186479e+01 -4.028618930584996427e+00
1.439299123904881128e+01 -4.011257321432758260e+00
1.451814768460575777e+01 -3.989233831586104895e+00
1.464330413016270427e+01 -3.974942045402511503e+00
1.476846057571965076e+01 -3.963454220889899737e+00
1.489361702127659726e+01 -3.956043948751481132e+00
1.501877346683354197e+01 -3.945056508152421149e+00
1.514392991239048847e+01 -3.935246711435124833e+00
1.526908635794743496e+01 -3.925394185600285191e+00
1.539424280350438146e+01 -3.916391875820018242e+00
1.551939924906132795e+01 -3.908398065665128485e+00
1.564455569461827444e+01 -3.896529450901308422e+00
1.576971214017521916e+01 -3.886539756441627080e+00
1.589486858573216566e+01 -3.877998922077340094e+00
1.602002503128911215e+01 -3.870268401753981458e+00
1.614518147684605864e+01 -3.860536253093195924e+00
1.627033792240300514e+01 -3.853165772536527367e+00
1.639549436795995163e+01 -3.845446423260002078e+00
1.652065081351689813e+01 -3.840126792922857746e+00
1.664580725907384462e+01 -3.832798693483269403e+00
1.677096370463078756e+01 -3.825525324833418672e+00
1.689612015018773405e+01 -3.819190734013770072e+00
1.702127659574468055e+01 -3.813306042885659775e+00
1.714643304130162704e+01 -3.807261929099611475e+00
1.727158948685857354e+01 -3.802016699837738489e+00
1.739674593241552003e+01 -3.796609443761624014e+00
1.752190237797246652e+01 -3.793520685900118483e+00
1.764705882352941302e+01 -3.785264364785056124e+00
1.777221526908635951e+01 -3.779924334239543438e+00
1.789737171464330601e+01 -3.777248201904090497e+00
1.802252816020025250e+01 -3.769766799254421041e+00
1.814768460575719899e+01 -3.764472251955717663e+00
1.827284105131414194e+01 -3.758352755677863311e+00
1.839799749687108843e+01 -3.753128968435482715e+00
1.852315394242803492e+01 -3.747148419612355230e+00
1.864831038798498142e+01 -3.740517886272955117e+00
