# r   Lambda(r)
1.551939924906132795e+01 -4.187411231214163365e+00
1.564455569461827444e+01 -4.182437303616737267e+00
1.576971214017521916e+01 -4.177797282946583479e+00
1.589486858573216566e+01 -4.174778547322524069e+00
1.602002503128911215e+01 -4.179482753256897887e+00
1.614518147684605864e+01 -4.170979719442636124e+00
1.627033792240300514e+01 -4.163606321093022977e+00
1.639549436795995163e+01 -4.139515150756273520e+00
1.652065081351689813e+01 -4.122166316641062700e+00
1.664580725907384462e+01 -4.107788150651678905e+00
1.677096370463078756e+01 -4.087466074365173618e+00
1.689612015018773405e+01 -4.066832353026627267e+00
1.702127659574468055e+01 -4.049470726163797885e+00
1.714643304130162704e+01 -4.033229271245192038e+00
1.727158948685857354e+01 -4.016173922393589280e+00
1.739674593241552003e+01 -3.999791889958826729e+00
1.752190237797246652e+01 -3.983476162879400206e+00
1.764705882352941302e+01 -3.966552216090105887e+00
1.777221526908635951e+01 -3.950363829837847174e+00
1.789737171464330601e+01 -3.934265689125896248e+00
1.802252816020025250e+01 -3.918982571724667352e+00
1.814768460575719899e+01 -3.904319192732099708e+00
1.827284105131414194e+01 -3.890947718998647442e+00
1.839799749687108843e+01 -3.878511369683487864e+00
1.852315394242803492e+01 -3.867775959310336908e+00
1.864831038798498142e+01 -3.858378017032797924e+00
1.877346683354192791e+01 -3.850875710290926346e+00
1.889862327909887441e+01 -3.845255845225863833e+00
1.902377972465582090e+01 -3.840858165250809808e+00
1.914893617021276739e+01 -3.838767055522702698e+00
1.927409261576971389e+01 -3.837407589190027668e+00
1.939924906132666038e+01 -3.837185478057370425e+00
1.952440550688360688e+01 -3.837131557431641582e+00
1.964956195244055337e+01 -3.836733403500602435e+00
1.977471839799749631e+01 -3.835804790449294899e+00
1.989987484355444280e+01 -3.835209430371175010e+00
2.002503128911138930e+01 -3.834157526698946050e+00
2.015018773466833579e+01 -3.833658447877959397e+00
2.027534418022528229e+01 -3.832771083849357829e+00
2.040050062578222878e+01 -3.832272463721150491e+00
2.052565707133917527e+01 -3.832299169034949049e+00
2.065081351689612177e+01 -3.832526108632050565e+00
2.077596996245306826e+01 -3.833247886212820976e+00
2.090112640801001476e+01 -3.833432823866793182e+00
2.102628285356696125e+01 -3.833622737947951276e+00
2.115143929912390419e+01 -3.833047134389389488e+00
2.127659574468085069e+01 -3.831683599279182229e+00
2.140175219023779718e+01 -3.829210430494488282e+00
2.152690863579474367e+01 -3.826435442110602825e+00
2.165206508135169017e+01 -3.822666157594924563e+00
2.177722152690863666e+01 -3.818233600341445655e+00
2.190237797246558316e+01 -3.814160031715451815e+00
2.202753441802252965e+01 -3.809113230026977881e+00
2.215269086357947614e+01 -3.804421494054961439e+00
2.227784730913642264e+01 -3.800061196575823086e+00
2.240300375469336913e+01 -3.794171795145440562e+00
2.252816020025031563e+01 -3.790148575850993851e+00
2.265331664580725857e+01 -3.783458951127159242e+00
2.277847309136420506e+01 -3.777459128999812510e+00
2.290362953692115155e+01 -3.772923167898846408e+00
2.302878598247809805e+01 -3.765497613652899034e+00
2.315394242803504454e+01 -3.759416120676386530e+00
2.327909887359199104e+01 -3.754371384721458149e+00
2.340425531914893753e+01 -3.747074042513682368e+00
2.352941176470588402e+01 -3.741742234415751156e+00
2.365456821026283052e+01 -3.734536031525570898e+00
2.377972465581977701e+01 -3.727799673097296651e+00
2.390488110137672351e+01 -3.721621506307087657e+00
2.403003754693367000e+01 -3.715250221994743640e+00
2.415519399249061294e+01 -3.708820890829086281e+00
2.428035043804755944e+01 -3.704923846623600081e+00
2.440550688360450593e+01 -3.697088975510831599e+00
2.453066332916145242e+01 -3.690322560481054559e+00
2.465581977471839892e+01 -3.684381200656519972e+00
2.478097622027534541e+01 -3.678116500023733693e+00
2.490613266583229191e+01 -3.672218587992295280e+00
2.503128911138923840e+01 -3.666766489386809713e+00
2.515644555694618489e+01 -3.661113727272251150e+00
2.528160200250313139e+01 -3.654684357327377064e+00
2.540675844806007788e+01 -3.649452994092019953e+00
2.553191489361702082e+01 -3.644333604112953040e+00
2.565707133917396732e+01 -3.638489952628193080e+00
2.578222778473091381e+01 -3.632089829051251773e+00
2.590738423028786030e+01 -3.627925659414933168e+00
2.603254067584480680e+01 -3.620930215266167540e+00
2.615769712140175329e+01 -3.616235873506869147e+00
2.628285356695869979e+01 -3.610419953796325743e+00
2.640801001251564628e+01 -3.605417830464922702e+00
2.653316645807259277e+01 -3.599593919272433773e+00
2.665832290362953927e+01 -3.594657073889997889e+00
2.678347934918648576e+01 -3.588927457853504421e+00
2.690863579474343226e+01 -3.584134340135892938e+00
2.703379224030037520e+01 -3.580101889794906178e+00
2.715894868585732169e+01 -3.575444045520479897e+00
2.728410513141426819e+01 -3.568623755026335331e+00
2.740926157697121468e+01 -3.564471719995013110e+00
2.753441802252816117e+01 -3.558952484384861670e+00
2.765957446808510767e+01 -3.554431887119221312e+00
2.778473091364205416e+01 -3.549932146369630726e+00
2.790988735919900066e+01 -3.545293261169244037e+00
2.803504380475594715e+01 -3.540615974242674380e+00
2.816020025031289364e+01 -3.535896602445534054e+00
2.828535669586984014e+01 -3.531474309579405890e+00
2.841051314142678308e+01 -3.527255855892713399e+00
2.853566958698372957e+01 -3.522263456417936478e+00
2.866082603254067607e+01 -3.518848930890140281e+00
2.878598247809762256e+01 -3.514837147820568664e+00
2.891113892365456906e+01 -3.510396285480043232e+00
2.903629536921151555e+01 -3.504855445120237167e+00
2.916145181476846204e+01 -3.499803365617608630e+00
2.928660826032540854e+01 -3.495498632479904000e+00
2.941176470588235503e+01 -3.491046741078200011e+00
2.953692115143930152e+01 -3.488000234269799105e+00
2.966207759699624802e+01 -3.484199887859538602e+00
2.978723404255319451e+01 -3.478942698264692268e+00
2.991239048811013745e+01 -3.474666359481653366e+00
3.003754693366708395e+01 -3.470419323748051177e+00
3.016270337922403044e+01 -3.465393584420107143e+00
3.028785982478097694e+01 -3.462154901711333110e+00
3.041301627033792343e+01 -3.457682906473945383e+00
3.053817271589486992e+01 -3.453592753671720139e+00
3.066332916145181642e+01 -3.450067335430814452e+00
3.078848560700876291e+01 -3.445611919317637994e+00
3.091364205256570941e+01 -3.441260269893463786e+00
3.103879849812265590e+01 -3.436812665231804953e+00
3.116395494367960239e+01 -3.433117635650989818e+00
3.128911138923654889e+01 -3.429310883456566650e+00
3.141426783479349183e+01 -3.425796757256143188e+00
3.153942428035043832e+01 -3.422413088299582462e+00
3.166458072590738482e+01 -3.416877377373013225e+00
3.178973717146433131e+01 -3.415032607292991518e+00
3.191489361702127781e+01 -3.410096350638630813e+00
3.204005006257822430e+01 -3.406479316062752893e+00
3.216520650813517079e+01 -3.401755917525592476e+00
3.229036295369211729e+01 -3.399554988735963512e+00
3.241551939924906378e+01 -3.394374201208780306e+00
3.254067584480601028e+01 -3.391802800262679440e+00
3.266583229036295677e+01 -3.387968433832243331e+00
3.279098873591990326e+01 -3.386240824929544146e+00
3.291614518147684976e+01 -3.383633911655564930e+00
3.304130162703379625e+01 -3.379703454719993783e+00
3.316645807259074274e+01 -3.377106840534494836e+00
3.329161451814768924e+01 -3.374844753158745547e+00
3.341677096370463573e+01 -3.370082567730790846e+00
3.354192740926157512e+01 -3.367924219375314276e+00
3.366708385481852162e+01 -3.367481295574676015e+00
3.379224030037546811e+01 -3.365160528904296733e+00
3.391739674593241460e+01 -3.361870375455513038e+00
3.404255319148936110e+01 -3.359926819864394343e+00
3.416770963704630759e+01 -3.359082023521399396e+00
3.429286608260325409e+01 -3.358037982047128445e+00
3.441802252816020058e+01 -3.356656910122678195e+00
3.454317897371714707e+01 -3.355804399092831236e+00
3.466833541927409357e+01 -3.356273827996930859e+00
3.479349186483104006e+01 -3.354399883019941520e+00
3.491864831038798656e+01 -3.354261019648418163e+00
3.504380475594493305e+01 -3.353600378089739653e+00
3.516896120150187954e+01 -3.355351405320803782e+00
3.529411764705882604e+01 -3.359859117442935972e+00
3.541927409261577253e+01 -3.355908511719690068e+00
3.554443053817271903e+01 -3.353983184931293771e+00
3.566958698372966552e+01 -3.354114307396298233e+00
3.579474342928661201e+01 -3.354457556384914163e+00
3.591989987484355851e+01 -3.353695443959989309e+00
3.604505632040050500e+01 -3.354129629747299113e+00
3.617021276595745150e+01 -3.353855348570830230e+00
3.629536921151439799e+01 -3.354006391898185946e+00
3.642052565707133738e+01 -3.353572639239395414e+00
3.654568210262828387e+01 -3.353439863459560133e+00
3.667083854818523037e+01 -3.353150984612863983e+00
3.679599499374217686e+01 -3.352415130998516180e+00
3.692115143929912335e+01 -3.351749580391337968e+00
3.704630788485606985e+01 -3.351424983656843715e+00
3.717146433041301634e+01 -3.350835083719669871e+00
3.729662077596996284e+01 -3.349873001086743241e+00
3.742177722152690933e+01 -3.350054770340634924e+00
3.754693366708385582e+01 -3.347664770680116142e+00
3.767209011264080232e+01 -3.346471589815688485e+00
3.779724655819774881e+01 -3.345328210509088240e+00
3.792240300375469531e+01 -3.344095920253876919e+00
3.804755944931164180e+01 -3.342590996939925230e+00
3.817271589486858829e+01 -3.341538219173335822e+00
3.829787234042553479e+01 -3.339298603931803111e+00
3.842302878598248128e+01 -3.337631445466207047e+00
3.854818523153942778e+01 -3.336625435806282347e+00
3.867334167709637427e+01 -3.334387559839891768e+00
3.879849812265332076e+01 -3.332143504353882957e+00
3.892365456821026726e+01 -3.330363772331199623e+00
3.904881101376721375e+01 -3.328390626675571617e+00
3.917396745932416025e+01 -3.326140382048264232e+00
3.929912390488110674e+01 -3.324361295244932180e+00
3.942428035043804613e+01 -3.322191079726224405e+00
3.954943679599499262e+01 -3.319914974986359901e+00
3.967459324155193912e+01 -3.317881327155698834e+00
3.979974968710888561e+01 -3.315401106190098979e+00
3.992490613266583210e+01 -3.313524449089177537e+00
4.005006257822277860e+01 -3.311093516839349160e+00
4.017521902377972509e+01 -3.308935079677711499e+00
4.030037546933667159e+01 -3.307160112023597165e+00
4.042553191489361808e+01 -3.304773082153626973e+00
4.055068836045056457e+01 -3.302631087212427374e+00
4.067584480600751107e+01 -3.300053060211342260e+00
4.080100125156445756e+01 -3.297563415953339128e+00
4.092615769712140406e+01 -3.296188018466933212e+00
4.105131414267835055e+01 -3.293266317841852864e+00
4.117647058823529704e+01 -3.290765580008177871e+00
4.130162703379224354e+01 -3.288848091354593439e+00
4.142678347934919003e+01 -3.286294746580511905e+00
4.155193992490613653e+01 -3.284491743221389370e+00
4.167709637046308302e+01 -3.281940629343743865e+00
4.180225281602002951e+01 -3.279817149504814289e+00
4.192740926157697601e+01 -3.277733584660063926e+00
4.205256570713392250e+01 -3.275275325064493703e+00
4.217772215269086900e+01 -3.274005522118231593e+00
4.230287859824780838e+01 -3.270923888879771813e+00
4.242803504380475488e+01 -3.268869870108754849e+00
4.255319148936170137e+01 -3.267240471900258569e+00
4.267834793491864787e+01 -3.265564725272356306e+00
4.280350438047559436e+01 -3.262547781620628307e+00
4.292866082603254085e+01 -3.261222632324161097e+00
4.305381727158948735e+01 -3.258252567288586032e+00
4.317897371714643384e+01 -3.256680184400637224e+00
4.330413016270338034e+01 -3.255578569590430682e+00
4.342928660826032683e+01 -3.252160003591249904e+00
4.355444305381727332e+01 -3.251329955248958736e+00
4.367959949937421982e+01 -3.248391677777120901e+00
